what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237508145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237509422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237536450
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334237540085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334237541228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237549835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237550744
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1334237550815
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1334237554881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237559813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237592496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334237598399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240421281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240423339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240647175
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334240649018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240649299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240657541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240662295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240714305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240717271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240722871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334240724423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334242728873
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334242729907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334242730986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334242742869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242769230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242769373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242769875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242769959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242770980
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242771158
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1334242783530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242805069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242805165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242805300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242805435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242817400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242824333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334242833299
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1334242835308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334242835556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334242846112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1334242847979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1334242850459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334242887512
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334242900015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334242902236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334243072513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334243075066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334243079692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334243097713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334243103868
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1334243112484
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334243112714
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334243113484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334243116569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334243124773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334243128419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334243133215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334243148328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334243148472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334243150539
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334243161394
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1334243161769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1334243162519
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334243163305
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1334243163865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334243164454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1334243169010
